ime,oznaka,rang,cena,sprememba_1h,sprememba_24h,sprememba_7d,trzna_vrednost,obseg_24h,ponudba_v_obtoku
Curve DAO Token,CRV,69,0.9943041292807948,-0.17832191,4.86161116,13.48026629,1364652472.4364915,317550475.0157804,1372469883.4586747
Celestia,TIA,70,1.8377312903221696,0.01786142,4.714736,15.04907026,1358996564.7846875,108765496.88285711,739496885.067699
Stacks,STX,71,0.7528870888853741,-0.40903384,3.21412576,11.92158471,1348243372.5317998,34945244.41114948,1790764368.83495
FLOKI,FLOKI,72,0.00012066042064120667,0.06990131,2.46797767,17.75665431,1151152780.58975,130453670.90777928,9540434008702.773
Pump.fun,PUMP,73,0.0032013877845016876,-0.10401887,-3.49491118,17.82860994,1133291275.7135973,227675551.6327491,354000000000.0
Immutable,IMX,74,0.5838657408425358,-0.02937808,6.83400143,20.28986163,1118348624.9315379,39197978.07513693,1915420869.3898141
Conflux,CFX,75,0.21396704422327983,0.09945409,0.33961305,10.85609542,1096400115.1357956,181790338.14283273,5124154138.39
Fartcoin,FARTCOIN,76,1.0928192576156281,0.05699361,7.27659966,18.66896015,1092817351.7388427,198828400.25682244,999998256.0
Ethereum Name Service,ENS,77,29.470227463420443,-0.36222524,5.24750663,17.92499834,1078289520.1793869,172976455.71219143,36589114.26855461
Lido DAO,LDO,78,1.200989753550458,0.54885092,7.87938254,34.8409162,1075953344.2931566,169089250.14873526,895888862.5921584
The Graph,GRT,79,0.09976994883393797,-0.02746636,5.13641953,12.24549553,1039828179.2246333,59934721.90042511,10422258319.03928
PayPal USD,PYUSD,80,0.9995203288977392,-0.00597481,0.00498061,0.00067792,1027921341.4419539,24880750.5435072,1028414642.226972
dogwifhat,WIF,81,1.0105970637294976,0.33454125,4.9267503,18.17198362,1009424890.7803497,265691071.69337592,998840118.39019
Aerodrome Finance,AERO,82,1.1310553361158693,1.464516,13.66740464,49.78820591,993663963.3143868,259893847.17617956,878528160.0162067
PancakeSwap,CAKE,83,2.8818940510448274,-0.02674226,3.87244344,12.91076757,993377870.2368578,87264088.28160258,344696179.88791424
Tezos,XTZ,84,0.9228138267615014,-0.19345563,13.26786201,24.76313005,972714464.5229999,168324116.96381053,1054074436.592068
PAX Gold,PAXG,85,3388.661944346605,-0.06226321,-0.02995682,0.8041151,962998724.5901921,72976972.14984813,284182.589
Pendle,PENDLE,86,5.5771489621139665,-1.32867167,4.80906323,42.53310593,934287957.5152677,251529198.3068265,167520710.64659792
Kaia,KAIA,87,0.15302996887503387,-0.00457296,1.33643147,8.35234597,931835915.1199164,20793885.97591561,6089238088.265345
Virtuals Protocol,VIRTUAL,88,1.4200731771223005,0.4402825,5.64749395,20.29633023,930740156.6322688,144022653.12914947,655417038.8024384
Sonic,S,89,0.3171728218325404,0.11641178,4.82153792,8.80961324,913457726.8777163,150981484.4083099,2880000000.0
Nexo,NEXO,90,1.3569051723991203,-0.67312361,1.51026241,5.10601001,876758631.8430619,12826997.49853813,646145839.5746847
Theta Network,THETA,91,0.8704237520923168,0.13790919,5.87681344,18.69653627,870423752.0923167,40776973.99206209,1000000000.0
Vaulta,A,92,0.5451516917625765,-0.05462853,3.48817035,11.08903861,863128734.5067264,39515946.48761948,1583281768.2654
Tether Gold,XAUt,93,3388.6849921531266,-0.06865595,-0.05589499,0.93350941,835392179.0055574,29392408.81426367,246524.0
IOTA,IOTA,94,0.2094836176261683,0.34127802,4.71035482,17.66851422,828260027.0605152,20674433.66922223,3953817661.0
JasmyCoin,JASMY,95,0.01651069146671722,0.2505585,4.41989953,14.52779632,816371134.2416794,58271793.3436746,49444999677.16958
Gala,GALA,96,0.017906240599965102,0.18184627,6.28028038,21.35802024,816212236.5470412,126467394.03277671,45582557209.056595
Raydium,RAY,97,3.003305017535549,-0.1885131,4.86072483,18.48448508,805134847.9105749,63231972.75350986,268082943.027629
The Sandbox,SAND,98,0.3016909801025887,-0.00472976,4.33983315,15.82230425,776338137.8858709,53968700.17630249,2573289190.2233224
MemeCore,M,99,0.47426253060509854,0.41085919,6.75395652,3.94611211,749005046.4641012,16417970.39081827,1579304706.0
Pyth Network,PYTH,100,0.12938838879274356,0.28406383,5.14366375,18.61630016,743981304.5885473,26034704.90214899,5749985076.174561
DeXe,DEXE,101,8.416291019084413,-0.01031276,-0.64259501,19.97781125,704725074.0165476,12083850.3141178,83733448.90505138
Morpho,MORPHO,102,2.1636695730944417,0.44056976,7.19753974,33.58583941,700359336.6661978,22976709.67155952,323690523.44002616
BitTorrent [New],BTT,103,6.913256470873158e-07,0.13155125,2.73154351,7.05865044,681689357.6532737,16171652.09948597,986061142857000.0
Jito,JTO,104,1.873076668332495,-0.13010566,4.7507839,13.86221005,680648346.667721,37338053.57483155,363385203.7
Zcash,ZEC,105,39.85838543107648,0.53081562,3.73862407,11.85967656,643905995.3646654,59495970.69452631,16154843.9155448
Ripple USD,RLUSD,106,0.9999192351288979,0.00163711,-0.01143197,-0.00579806,642691492.7518371,140884462.69849926,642743403.84
Flow,FLOW,107,0.38816636978301916,0.37820901,3.49302358,9.49116298,621385500.8299035,22909079.29822679,1600822609.071598
Decentraland,MANA,108,0.3135392208683653,0.1459594,4.35390867,16.30055613,617587299.2328362,35063834.98414176,1969729010.368757
Brett (Based),BRETT,109,0.06175393596633677,-0.10210332,6.8366304,28.54235583,611996103.7480901,40026774.58437097,9910236395.0
Walrus,WAL,110,0.4193610253486625,0.14519685,1.01504534,12.40007753,592784282.8461777,61201285.59587865,1413541667.0
BUILDon,B,111,0.5877761943016715,0.98226418,3.34066287,21.52084114,587776194.3016715,25802425.73832858,1000000000.0
AB,AB,112,0.008171118043633624,-0.16076117,-0.15829807,-1.11785272,585863749.577991,31728052.04082911,71699337403.95
Mog Coin,MOG,113,1.479330904067057e-06,-0.52364134,10.13257081,26.23525153,577778611.9776846,37701230.94097025,390567526433216.7
Helium,HNT,114,3.0869713620152446,0.51339687,6.51033489,9.97522818,574399128.6934941,17842302.41153132,186072062.65707415
Maple Finance,SYRUP,115,0.5041569594013462,0.63582952,2.56707551,26.93105816,563435425.191164,62040397.80695123,1117579386.1106415
DeepBook Protocol,DEEP,116,0.16143424208311408,0.16405476,3.37714647,25.16043767,553719450.3450813,18523073.64814309,3430000000.0
Bitcoin SV,BSV,117,27.438289324123073,0.00861459,4.10040847,6.81556922,546127080.4960222,50700907.82739739,19903831.25
Core,CORE,118,0.5293763866958253,-0.22788656,1.62177011,12.92016852,533409466.4492584,13290538.55650253,1007618548.6447669
Starknet,STRK,119,0.13673235953247853,-0.36415522,6.50983063,22.20237341,524462223.60331345,32275724.62925295,3835684730.348971
Reserve Rights,RSR,120,0.008858623109549203,0.16564563,6.64724634,22.27347942,523041222.55701655,26153856.58816018,59043173650.0
Arweave,AR,121,7.870606796539758,0.31275712,7.21693964,25.76247005,516724745.10919535,40142376.82090936,65652466.0
ether.fi,ETHFI,122,1.2200510735715904,-0.30581572,10.01794252,30.4548433,513793116.5005012,148119039.80260527,421124269.0
Compound,COMP,123,54.597566756905124,-0.41746105,11.8799167,24.21160706,513017372.764149,131169246.01986714,9396341.32503288
dYdX,DYDX,124,0.6611449088389473,0.09092699,4.67266581,23.03411255,511261940.1133056,18358668.42811887,773297855.3992727
USDD,USDD,125,0.999763554085794,0.00742392,-0.01990517,0.0197928,510858617.0001145,5824977.35362399,510979436.0
THORChain,RUNE,126,1.4328033067708772,-0.14845266,3.45309859,13.63394386,503480802.0223927,78745658.16422746,351395617.0
AIOZ Network,AIOZ,127,0.4143073507628694,0.58491913,21.28865798,26.89136068,495148304.6033561,21810551.31285796,1195123146.3589368
Onyxcoin,XCN,128,0.014400791637416716,0.14515375,1.9000681,2.23226596,493370011.55688125,20415497.59147453,34259922925.0
TrueUSD,TUSD,129,0.9974447477663808,-0.03221696,0.02571151,0.12399714,493251472.22960585,58553623.3208738,494515083.0
SuperVerse,SUPER,130,0.7986990102808718,1.90046517,8.57204786,17.42356285,490930424.18754196,21784561.55708807,614662617.4169173
ApeCoin,APE,131,0.6418073897319341,-0.03434272,2.99184377,17.99359451,483057304.21993566,38496883.07657789,752651515.0
APENFT,NFT,132,4.7506886455112494e-07,0.07757815,0.02084191,0.51071793,475064113.86247945,12456166.47860944,999990000000000.0
Zebec Network,ZBCN,133,0.00529282305688523,-1.13951063,-1.51751221,14.09683928,470207864.3655141,23992960.80737032,88838765118.70895
Neo,NEO,134,6.5992683326600705,-0.15094596,3.37992147,15.82389912,465504673.6411605,24740974.80491798,70538831.0
MultiversX,EGLD,135,16.060409508635082,-0.07706744,3.9820459,16.20976848,457900319.113071,20011801.9353229,28511123.50945193
Convex Finance,CVX,136,4.575403920683533,-0.40369345,2.42803821,18.75749688,452568573.03907937,32576441.46300341,98913359.53820418
EigenLayer,EIGEN,137,1.412818404956218,-0.46512466,11.58807789,32.25321219,451400861.0620249,130535497.24341245,319503808.4714174
eCash,XEC,138,2.1847175632997488e-05,0.00719616,3.37724592,10.011929,434841643.35705775,9168252.56046037,19903792172581.0
ZKsync,ZK,139,0.059081984068829405,-0.04404987,5.93345163,19.97727695,432457726.01143456,27147314.478774,7319620910.286787
Kava,KAVA,140,0.39787687013355466,-0.12041146,1.86793158,4.46758729,430842218.15749186,19569087.93988054,1082853140.0
Wormhole,W,141,0.09150410478035995,0.06190085,5.87509781,25.21583811,430671636.172213,131365303.34072633,4706582696.0
Chiliz,CHZ,142,0.043494900325094385,0.0076283,4.30732941,16.42878447,424841019.199333,41639758.35992505,9767605306.0
Sun [New],SUN,143,0.0220843679505481,0.34160272,-2.47493444,5.1913671,422981159.00744236,24223230.01926889,19152966476.31451
Axie Infinity,AXS,144,2.533960256908323,0.07655673,4.28185596,15.47351309,421297632.9512673,18815586.76399643,166260552.74651042
1inch Network,1INCH,145,0.2933466843417017,-0.11098686,3.55049978,21.62587446,409404359.4822492,17572939.93886079,1395633158.087306
Beam,BEAM,146,0.008146638710975719,0.01434414,5.23386613,23.52827994,402981664.43231505,45954846.45568323,49466004168.0
Aethir,ATH,147,0.03764100132586877,0.00542226,4.52911193,28.63081769,400463278.48589826,21527730.31607303,10639017677.0
Ronin,RON,148,0.5732098157502015,0.01396078,5.23087695,17.21227271,397303829.46701235,5940731.58914681,693121119.9637812
Movement,MOVE,149,0.14245028508028676,-0.10838671,1.79128502,11.6689536,377493255.4627599,33279054.37844039,2650000000.0
Axelar,AXL,150,0.3631171959367549,0.26695055,3.57119692,11.23207596,368689554.7668699,9846559.91447894,1015345896.290424
Gnosis,GNO,151,139.08145968027625,0.55573499,7.17290601,18.16957561,367038358.5661883,6155305.31234937,2639017.15879273
WEMIX,WEMIX,152,0.7932101916659159,0.260842,-1.41007448,6.77206796,360224747.27886796,4186942.12771663,454135298.6429949
Terra Classic,LUNC,153,6.379620753684445e-05,0.00934029,3.58638125,11.18943132,357734032.0938237,9922729.93859023,5607449814116.619
Turbo,TURBO,154,0.005079281254069334,-0.21184244,10.86374715,20.22725454,350470406.5307841,71250720.71282287,69000000000.0
LayerZero,ZRO,155,1.9384357089820496,-0.14733265,5.1884213,14.83404176,337433576.72586197,27335501.90606558,174075196.3876387
Trust Wallet Token,TWT,156,0.8057067295044702,-0.22042399,2.20550592,10.37958289,335697628.27736455,8444474.2156529,416649900.0
JUST,JST,157,0.0338527015498506,0.12088286,1.94980803,3.91567302,335141745.34352094,23137079.82956937,9900000000.0
Popcat (SOL),POPCAT,158,0.33845673488203004,0.30227047,4.30071777,16.7540568,331678524.33166087,37598637.55087067,979973184.6
Creditcoin,CTC,159,0.6986555817210112,0.16391738,-1.544479,11.67941311,325864178.832733,13810033.09916137,466416053.0
Dog (Bitcoin),DOG,160,0.003232095200108041,-0.78968125,0.77539195,9.38668835,323209520.0108041,14970991.22553789,100000000000.0
Akash Network,AKT,161,1.2865499197599435,-0.33883148,3.69153147,12.03098708,319432069.19882476,9177303.91184209,248285794.661141
Amp,AMP,162,0.003757052371565015,-0.12271938,3.56509745,10.21853591,316651282.96144325,10176589.94300652,84281838964.50209
FTX Token,FTT,163,0.9367597702004437,-0.50081097,2.81615163,5.04806211,308095701.86811084,11462729.71594387,328895103.813207
Velo,VELO,164,0.01729304623302703,1.19324387,7.36026587,19.89018947,303732921.6878542,26993823.3499466,17563876115.0
Decred,DCR,165,17.7833169550904,-0.06015401,3.0851229,12.52536365,301457769.1618411,2562641.16831209,16951717.72077931
cat in a dogs world,MEW,166,0.003388022002189301,-0.01639214,5.56312855,15.99253521,301157511.3027041,33428123.48764353,88888888888.0
Toshi,TOSHI,167,0.0007134668177466904,-0.40355825,10.43457421,35.32624582,300148015.6288738,47593962.22595589,420689523553.2012
Livepeer,LPT,168,6.931132038518357,-0.2543908,4.21964202,16.52786428,299609089.6336639,18489895.54931008,43226573.66338533
KAITO,KAITO,169,1.2404253828171175,-0.57635067,4.5043185,10.64599004,299424905.04562366,44108094.64187744,241388889.0
MANTRA,OM,170,0.28358662401396945,-0.17594639,2.53984196,20.13191805,294500400.6617992,83710125.81204478,1038484807.5461137
IoTeX,IOTX,171,0.031113671811795,0.08093657,-1.81345424,4.98327172,293755655.86666805,15358818.50557947,9441368979.0
Safe,SAFE,172,0.4729433691968456,0.33309238,3.57695587,16.05122663,293417208.0125246,14667903.24010221,620406643.0
ZORA,ZORA,173,0.08981783999072282,3.9611666,14.11724881,55.83876911,289629822.3400213,146551539.9305013,3224635800.303557
Dash,DASH,174,23.20586250519855,0.24783616,3.00442036,14.92756719,286973623.66371477,32177418.70835308,12366427.81966959
Moca Network,MOCA,175,0.07843789804438607,0.16170468,4.96606101,11.24620412,284344158.8636438,13875250.76384907,3625086418.0825
Frax (prev. FXS),FRAX,176,3.176861811264975,-0.30816566,10.30968665,11.61488903,282429353.74915296,27385139.73657734,88901995.27964176
Nervos Network,CKB,177,0.005967317064518987,-0.07565792,4.98425624,11.67989582,280690214.0640592,29273846.60282139,47037925256.73094
Theta Fuel,TFUEL,178,0.037773107096640196,-0.41655557,2.38886287,3.3811195,265632048.42980757,3777063.69567944,7032306020.0
Kusama,KSM,179,15.669911240741953,0.0413082,4.80878993,17.22319777,264533086.66628268,13553741.85534244,16881594.45207919
MYX Finance,MYX,180,1.6504012578379919,1.55204192,1.12514927,1409.0252233,260350694.94378436,95580794.51620524,157749937.3
SafePal,SFP,181,0.5194314138048665,0.15928251,5.59107883,15.89796512,259715706.90243325,4852451.65019249,500000000.0
Berachain,BERA,182,2.1086318764519403,-0.30010614,5.02614706,20.71726918,259558042.1708946,33266598.32955381,123093103.6704407
Peanut the Squirrel,PNUT,183,0.25926935680774593,0.12598018,10.22773521,18.04890517,259230996.4411268,138288715.2170722,999852044.348428
Golem,GLM,184,0.25703213515376705,0.04627886,4.74395175,9.14151683,257032135.15376705,17558484.7768388,1000000000.0
Mina,MINA,185,0.20360093815423821,0.11753652,5.3542967,15.89685655,253694330.44285476,12359686.83312036,1246037138.8400393
SushiSwap,SUSHI,186,0.8826500004761694,-0.27844569,4.39138968,18.56395455,243743853.46085596,48420438.48396765,276150063.25198185
Cheems (cheems.pet),CHEEMS,187,1.2886119215273718e-06,0.98090779,3.36778915,6.77047425,241608337.038767,3148241.42657138,187495034775398.0
Baby Doge Coin,BabyDoge,188,1.425888673556547e-09,0.20379113,4.78917944,16.03106915,239441462.19311392,13935935.9623282,1.6792437350377642e+17
Basic Attention Token,BAT,189,0.15960965803541777,-0.22641723,4.0053264,9.8009414,238723114.98760056,9736811.1561771,1495668356.9526057
OriginTrail,TRAC,190,0.47433643168089656,0.18092521,4.20271876,8.13320425,237167266.03012615,1838371.66461135,499997997.602
Qtum,QTUM,191,2.230162786510749,0.02698036,3.22982497,10.25041519,235862629.5961431,50768771.70505609,105760275.0
Zilliqa,ZIL,192,0.01203720094629503,0.04216062,3.94993958,14.55063688,234709055.09464538,12451738.50492645,19498640601.068245
CoW Protocol,COW,193,0.4626966133810954,0.15019168,23.86078829,35.39905546,231500582.84611297,205206196.3151256,500329105.83557665
Notcoin,NOT,194,0.0023258234038566936,-0.18233694,5.47128762,15.67397866,231265107.60595843,33527702.23804509,99433648841.2978
Synthetix,SNX,195,0.6652982366427003,0.1720326,5.49285165,18.60232025,228507468.5153737,13051012.15579803,343466216.99839866
Ravencoin,RVN,196,0.014638585117418557,0.05090714,2.68240865,10.98013434,226254335.32275647,14171730.8175118,15456024848.57193
0x Protocol,ZRX,197,0.26531463350826107,-0.13588452,3.94681647,16.34637807,225092023.15477714,24366341.51859914,848396562.8973439
EURC,EURC,198,1.1676678619254601,0.05574102,0.18299333,0.9780684,225039293.0574616,30849156.24362101,192725431.9446426
Gas,GAS,199,3.4556971522053934,0.29760133,4.37946793,19.35922668,224593813.1518903,20857253.20532395,64992331.0
Blur,BLUR,200,0.09038463131031205,0.08960035,5.83675824,10.06802375,222370788.7391045,20773924.49644273,2460272122.76446
Fasttoken,FTN,201,4.57915340067794,0.1045069,0.0852204,-0.24142018,1997708390.8388534,61613708.7589741,436261513.0
Jupiter Perps LP,JLP,202,5.1320775092570035,-0.1761131,1.24560666,5.76132738,1800734338.7302122,23662071.44331421,350878242.871845
Falcon USD,USDf,203,1.0001908360873828,0.00265183,0.01164294,0.0771644,1163458482.8418646,18080427.5162503,1163236495.340393
Ondo US Dollar Yield,USDY,204,1.09992048378602,-0.01337739,0.05677129,0.13034312,690498771.9002397,1852497.57038554,627771536.2873179
Vision,VSN,205,0.1886575327547774,1.10890717,6.02957917,19.3139887,651266312.9718376,4936541.72585328,3452108714.992964
Usual USD,USD0,206,0.9978211402786566,0.00784524,0.01665768,0.02486515,648070532.7796283,310846.12331474,649485670.9476458
Keeta,KTA,207,1.4854532494904051,1.55242449,21.38032061,54.22317529,604127945.83842,23615558.09571978,406696034.38928175
Loaded Lions,LION,208,0.019419437299059424,0.03204509,5.51819463,11.4126752,598996829.0874277,566783.45917906,30845220686.0
Fellaz,FLZ,209,1.0430236664453516,0.05113041,-0.12787153,-16.44719065,492176730.0224803,8120451.48208403,471874940.0
Telcoin,TEL,210,0.006200230021286642,0.00966455,9.9942124,31.37549562,564266637.2426978,2451247.13940453,91007371550.0
Beldex,BDX,211,0.07275016935469339,0.11354992,-0.54867278,-3.80236163,520002648.9174159,2280201.9948085,7147786094.931868
Zeebu,ZBU,212,1.9284952472443708,-0.14344297,0.49596635,3.28406477,499424034.3463018,282784.63123202,258970840.12
Saros,SAROS,213,0.3830683221057892,0.01777758,0.09026772,5.93320458,446717499.6133998,6988436.33063095,1166156202.0
Olympus v2,OHM,214,22.85490627007767,0.1923033,0.9541019,3.01241957,358330672.25092113,35865.26736777,15678501.06303251
Rekt (rektcoin.com),REKT,215,1.3579858947489766e-06,-0.24288879,-1.48513284,18.57623619,347345065.47138613,5782902.89585842,255779582700004.97
GHO,GHO,216,0.9996940631659625,0.00348076,0.01481092,0.09109609,335593107.5052751,2497840.299411,335695809.218347
Snek,SNEK,217,0.004360081488895436,0.22182409,2.62069511,38.99586509,325279871.30409217,2829961.36805833,74604080711.0
